Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2018-09-17,5595.4,5614.16,5310.0,5372.29,1543.07758159,8389497.2609944,5436.8603115533
2018-09-16,5618.1,5619.3,5496.0,5595.4,342.72875647,1908692.069842,5569.1039453501
2018-09-15,5586.8,5649.0,5564.06,5621.08,389.74342478,2187755.3540645,5613.3220343601
2018-09-14,5559.99,5634.99,5460.0,5589.31,1069.82509314,5953954.6202489,5565.3533072156
2018-09-13,5450.49,5600.27,5439.07,5559.27,1562.33306605,8661779.5747733,5544.1312502415
2018-09-12,5418.0,5467.49,5341.91,5449.98,1385.24658978,7484210.0852013,5402.7998627955
2018-09-11,5443.97,5534.79,5327.5,5411.54,1506.94363497,8174099.4298817,5424.290093003
2018-09-10,5399.07,5508.66,5378.0,5440.43,1260.16945066,6848252.2215413,5434.3899687098
2018-09-09,5373.99,5587.88,5348.83,5399.08,951.81236285,5194675.3625192,5457.6674618565
2018-09-08,5546.21,5614.99,5317.01,5373.0,1352.41065574,7358521.142409,5441.0404940078
2018-09-07,5608.51,5628.15,5436.67,5549.8,1373.82301143,7639897.1698284,5561.0490625544
2018-09-06,5759.83,5770.63,5385.0,5587.54,3226.33509451,17825840.990617,5525.1052567198
2018-09-05,6349.15,6385.0,5720.3,5764.95,2799.50518035,16924639.563921,6045.5825131944
2018-09-04,6242.51,6400.0,6230.0,6349.15,1417.43745678,8997728.0792099,6347.8836658163
2018-09-03,6290.59,6312.49,6195.44,6242.51,937.80382576,5862623.3364297,6251.4389207984
2018-09-02,6191.3,6313.35,6121.05,6289.4,1001.70218859,6255645.6680642,6245.01547398
2018-09-01,6031.98,6248.0,6031.98,6191.3,858.02491884,5256385.7364691,6126.1457809121
2018-08-31,5989.24,6100.0,5914.42,6038.59,1075.10904795,6448909.0440319,5998.3766821873
2018-08-30,6008.09,6036.6,5820.64,5989.22,1525.66153985,9003705.238508,5901.5089542031
2018-08-29,6058.11,6109.61,5912.59,6004.92,1262.96904402,7614618.33328,6029.1409115166
2018-08-28,5912.87,6100.0,5868.64,6054.61,1691.41254771,10123380.924045,5985.1636655709
2018-08-27,5752.43,5935.0,5717.21,5918.2,1372.84383068,7934783.1228456,5779.8148234496
2018-08-26,5792.51,5823.0,5657.94,5761.14,746.17934459,4280954.1064259,5737.1651164883
2018-08-25,5755.79,5845.0,5721.35,5790.34,655.04502899,3784141.0088873,5776.9173742482
2018-08-24,5661.95,5782.57,5550.32,5748.94,1021.89555676,5788388.8909535,5664.3644770372
2018-08-23,5497.12,5689.0,5483.46,5667.62,1410.75230896,7865891.7905345,5575.6717466109
2018-08-22,5602.38,5936.03,5377.7,5498.38,2796.28086095,15871754.454055,5676.022990288
2018-08-21,5458.57,5630.0,5437.01,5598.51,1305.87522699,7260634.7111721,5559.9758392749
2018-08-20,5676.63,5709.0,5406.73,5458.68,1764.43088196,9866051.4107355,5591.6338302671
2018-08-19,5602.69,5725.0,5530.01,5675.04,957.38096848,5372237.5923989,5611.3895818592
2018-08-18,5763.53,5796.0,5508.13,5604.78,1073.31330571,6040962.3113452,5628.3307764913
2018-08-17,5565.52,5775.0,5534.58,5760.88,1569.42921401,8929505.0819077,5689.6513727383
2018-08-16,5537.47,5717.32,5482.0,5565.49,1796.27016714,10063581.298222,5602.4875780491
2018-08-15,5473.77,5850.0,5450.78,5535.05,2652.67993475,14957711.228466,5638.7169188868
2018-08-14,5494.66,5499.99,5150.0,5473.77,3321.4219515,17675938.692893,5321.7986004189
2018-08-13,5543.54,5750.0,5401.0,5494.7,1877.93416049,10450989.429807,5565.1522027163
2018-08-12,5482.04,5709.62,5423.55,5550.52,1562.05601288,8671427.2314935,5551.2908371998
2018-08-11,5398.81,5715.0,5280.0,5479.36,1461.09992164,8017070.1024354,5487.0101515279
2018-08-10,5688.74,5715.1,5284.92,5394.9,2324.89414456,12837781.116655,5521.8776935258
2018-08-09,5415.0,5766.75,5350.0,5689.96,2050.17321606,11349070.471579,5535.6641978718
2018-08-08,5800.91,5800.91,5280.02,5414.39,2646.28241172,14610711.319011,5521.2214895517
2018-08-07,6000.47,6166.0,5750.22,5789.7,1719.89971587,10331700.742818,6007.1530028667
2018-08-06,6076.01,6182.0,5917.88,6006.44,1082.8534268,6529420.1368624,6029.828206905
2018-08-05,6058.13,6126.19,5942.68,6079.47,730.88497067,4416043.8903867,6042.0504834551
2018-08-04,6409.35,6471.15,5988.88,6059.55,986.65473576,6076439.3457842,6158.6278619578
2018-08-03,6504.62,6507.0,6277.0,6407.7,2072.81272986,13220296.014611,6377.9500309728
2018-08-02,6521.64,6599.99,6416.9,6504.57,749.46630343,4883927.0944812,6516.5399326554
2018-08-01,6615.59,6625.37,6380.0,6521.76,1492.15214059,9653620.641155,6469.5954109196
2018-07-31,6975.0,6975.0,6530.88,6612.77,1758.91195768,11757577.861191,6684.5744096817
2018-07-30,7039.81,7098.81,6710.1,6973.46,1447.36136549,10016628.797003,6920.6136323887
2018-07-29,7067.58,7107.38,6965.05,7040.66,373.46048983,2627493.0619727,7035.531558288
2018-07-28,7010.11,7080.0,6902.01,7066.34,390.11591454,2732917.5009987,7005.3986498378
2018-07-27,6809.1,7099.34,6699.0,7007.34,1307.01955196,8998972.77428,6885.1095309058
2018-07-26,6964.2,7119.0,6745.0,6809.1,1277.81997264,8911515.8076059,6973.9994666029
2018-07-25,7195.34,7254.88,6886.0,6964.2,1505.81748075,10604720.036363,7042.500284351
2018-07-24,6607.7,7250.11,6584.87,7190.31,3025.71785732,21053059.625104,6958.0379327738
2018-07-23,6307.49,6686.0,6282.06,6611.97,1800.50152335,11849940.698129,6581.4666327418
2018-07-22,6324.0,6455.76,6250.0,6308.19,594.99484419,3775605.9570715,6345.6112165332
2018-07-21,6258.1,6366.96,6145.98,6324.7,411.93034193,2577702.5485903,6257.6175780427
2018-07-20,6413.28,6576.29,6200.0,6248.34,1146.60818471,7299756.7546933,6366.3916340695
2018-07-19,6338.05,6500.0,6250.0,6413.7,1121.65340426,7161724.2768157,6384.9708382426
2018-07-18,6269.98,6504.84,6211.0,6324.01,1624.51194562,10340604.568304,6365.3607449204
2018-07-17,5728.13,6400.0,5671.47,6270.44,2160.49248552,13137747.480553,6080.9040385953
2018-07-16,5438.3,5764.9,5408.0,5745.64,2575.38645145,14326628.869895,5562.9044960723
2018-07-15,5356.18,5469.4,5331.94,5438.19,321.58100574,1745764.3248255,5428.6922848827
2018-07-14,5322.94,5414.2,5295.09,5358.0,296.64306984,1586933.2798924,5349.6388125579
2018-07-13,5364.01,5443.69,5251.79,5325.84,948.25943029,5081102.300863,5358.346185188
2018-07-12,5471.82,5471.82,5215.0,5357.18,1028.66442805,5462763.2671463,5310.5396844546
2018-07-11,5384.91,5470.81,5355.01,5464.99,839.5552703,4550421.8708581,5420.0384796966
2018-07-10,5672.83,5676.88,5349.0,5382.61,1320.91342091,7272075.0254183,5505.3381321604
2018-07-09,5711.6,5788.0,5634.39,5672.84,868.70629966,4954468.2711351,5703.2719494198
2018-07-08,5758.63,5773.58,5684.14,5706.01,664.25245602,3810709.6531113,5736.8393877592
2018-07-07,5626.58,5799.93,5544.03,5758.63,436.41805522,2460320.9665577,5637.5324923656
2018-07-06,5590.44,5664.88,5505.0,5619.86,741.86362707,4148566.0198941,5592.0871013436
2018-07-05,5650.9,5748.43,5511.0,5594.93,917.69808147,5166277.6050277,5629.6048878649
2018-07-04,5581.45,5824.0,5483.08,5635.0,1027.2380849,5818194.7442169,5663.9203995083
2018-07-03,5682.0,5730.0,5539.77,5565.0,1637.18924545,9261305.2705748,5656.8324622907
2018-07-02,5436.63,5750.65,5379.4,5682.0,1656.77005423,9256011.4173846,5586.7809740721
2018-07-01,5460.0,5505.75,5335.58,5438.92,1012.98184812,5487449.0848481,5417.1247935314
